W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn   ,gf ,030620
 ,L,Shaw            ,MUN ,D,5.1 ,81 ,0.24 ,0.24 ,3.2,3.2 ,4.3 ,9.9 ,-5431 ,-1 ,      
 ,J,Holebas         ,WAT ,D,4.8 ,82 ,0.42 ,0.44 ,4.0,4.1 ,2.3 ,10.7,-5522 ,-1 ,      
 ,M,Sakho           ,CRY ,D,4.9 ,96 ,0.27 ,0.27 ,3.3,3.3 ,1.3 ,1.6 ,-5982 ,-6 ,      
 ,F,Fernandinho     ,MCI ,M,5.3 ,86 ,0.17 ,0.17 ,2.9,2.9 ,1.3 ,3.2 ,-6075 ,-3 ,      
 ,C,Wood            ,BUR ,F,6.2 ,73 ,0.16 ,0.27 ,3.0,3.7 ,6.5 ,1.3 ,-6730 ,-8 ,      
 ,K,Trippier        ,TOT ,D,6.1 ,76 ,0.38 ,0.43 ,4.3,4.6 ,1.3 ,17.0,-7050 ,-1 ,      
o,R,Pereira         ,LEI ,D,5.4 ,92 ,0.37 ,0.37 ,4.0,4.0 ,1.5 ,14.1,-7463 ,-1 ,      
 ,J,Jonny           ,WOL ,D,4.4 ,82 ,0.23 ,0.25 ,3.0,3.1 ,1.5 ,3.1 ,-7990 ,-4 ,      
 ,R,Firmino         ,LIV ,F,9.2 ,83 ,0.26 ,0.29 ,4.4,4.7 ,1.8 ,14.5,-8191 ,-1 ,      
 ,R,Pereyra         ,WAT ,M,6.0 ,92 ,0.35 ,0.37 ,4.1,4.2 ,1.5 ,9.7 ,-8551 ,-1 ,      
 ,V,Lindelöf        ,MUN ,D,5.1 ,82 ,0.25 ,0.25 ,3.3,3.3 ,3.5 ,6.5 ,-8918 ,-2 ,      
 ,R,Neves           ,WOL ,M,4.9 ,88 ,0.16 ,0.16 ,2.8,2.8 ,1.3 ,10.9,-9168 ,-1 ,      
 ,D,De Gea          ,MUN ,G,5.7 ,104,0.28 ,0.28 ,3.6,3.6 ,3.8 ,16.8,-9785 ,-1 ,      
m,S,Rondón          ,NEW ,F,5.9 ,71 ,0.37 ,0.44 ,4.2,4.6 ,4.5 ,8.0 ,-10637,-2 ,      
m,G,Murray          ,BHA ,F,6.3 ,73 ,0.22 ,0.3  ,3.4,3.9 ,1.3 ,2.8 ,-11186,-6 ,      
 ,R,Patrício        ,WOL ,G,4.5 ,100,0.29 ,0.27 ,3.3,3.2 ,1.5 ,8.7 ,-11643,-2 ,      
o,N,Etheridge       ,CAR ,G,4.7 ,104,0.43 ,0.43 ,4.0,4.0 ,2.0 ,12.2,-12206,-2 ,      
 ,S,Steve Cook      ,BOU ,D,4.4 ,93 ,0.16 ,0.16 ,2.7,2.7 ,0.3 ,5.0 ,-15240,-5 ,      
 ,A,Lacazette       ,ARS ,F,9.5 ,75 ,0.31 ,0.4  ,4.9,5.8 ,6.3 ,9.8 ,-15662,-3 ,      
