O,I,web_name        ,team,T,VA/M ,VA/ML,p/g,p/gl,min ,price,%   ,txn    ,123000
 ,J,Cork            ,BUR ,M,0.17 ,0.17 ,2.8,2.8 ,1800,4.6  ,3.7 ,-2834  ,      
 ,B,Foster          ,WBA ,G,0.32 ,0.32 ,3.4,3.4 ,1710,4.4  ,9.9 ,-2870  ,      
 ,K,Zouma           ,STK ,D,0.09 ,0.09 ,2.5,2.5 ,1595,5.4  ,1.9 ,-2873  ,      
 ,A,Masuaku         ,WHU ,D,0.04 ,0.09 ,2.2,2.4 ,981 ,4.5  ,1.7 ,-3077  ,      
 ,S,Steve Cook      ,BOU ,D,0.09 ,0.17 ,2.4,2.8 ,1243,4.7  ,1.3 ,-3259  ,      
 ,P,Jagielka        ,EVE ,D,0.0  ,0.04 ,2.0,2.2 ,994 ,4.7  ,2.6 ,-3312  ,      
 ,E,Dier            ,TOT ,M,0.04 ,0.06 ,2.2,2.3 ,1688,4.7  ,2.3 ,-3381  ,      
x,O,Niasse          ,EVE ,F,0.55 ,1.06 ,4.6,7.0 ,451 ,4.7  ,3.3 ,-3734  ,      
 ,D,Lovren          ,LIV ,D,0.26 ,0.4  ,3.4,4.1 ,1115,5.3  ,1.3 ,-3828  ,      
 ,M,Sakho           ,CRY ,D,0.42 ,0.48 ,4.0,4.3 ,834 ,4.8  ,0.5 ,-3846  ,      
 ,O,Oriol Romeu     ,SOU ,M,0.05 ,0.05 ,2.2,2.2 ,1529,4.4  ,2.3 ,-3856  ,      
 ,J,McArthur        ,CRY ,M,0.09 ,0.16 ,2.4,2.7 ,936 ,4.3  ,3.0 ,-3861  ,      
 ,W,Morgan          ,LEI ,D,0.04 ,0.04 ,2.2,2.2 ,1800,4.5  ,2.9 ,-3931  ,      
 ,C,Fuchs           ,LEI ,D,0.19 ,0.21 ,2.9,3.0 ,1171,4.8  ,2.1 ,-4220  ,      
 ,F,Fernandinho     ,MCI ,M,0.27 ,0.29 ,3.4,3.5 ,1651,5.1  ,6.3 ,-4592  ,      
 ,N,Kanté           ,CHE ,M,0.29 ,0.29 ,3.4,3.4 ,1490,4.9  ,12.1,-4841  ,      
 ,M,Lowton          ,BUR ,D,0.47 ,0.47 ,4.1,4.1 ,1170,4.5  ,2.4 ,-4848  ,      
 ,J,Henderson       ,LIV ,M,0.17 ,0.2  ,2.9,3.1 ,1272,5.4  ,1.3 ,-5019  ,      
 ,M,Ritchie         ,NEW ,M,0.25 ,0.27 ,3.4,3.5 ,1572,5.5  ,2.3 ,-5098  ,      
 ,A,Gray            ,WAT ,F,0.08 ,0.25 ,2.5,3.6 ,1017,6.3  ,1.8 ,-5213  ,      
 ,A,Begovic         ,BOU ,G,0.29 ,0.27 ,3.3,3.2 ,1800,4.5  ,4.5 ,-5326  ,      
 ,L,Baines          ,EVE ,D,0.14 ,0.16 ,2.8,2.9 ,1099,5.7  ,3.3 ,-5415  ,      
 ,R,Shawcross       ,STK ,D,0.06 ,0.08 ,2.3,2.4 ,1291,4.8  ,0.9 ,-5455  ,      
 ,P,Groß            ,BHA ,M,0.47 ,0.54 ,4.8,5.2 ,1508,5.9  ,18.0,-5653  ,      
 ,T,Alderweireld    ,TOT ,D,0.31 ,0.31 ,3.8,3.8 ,900 ,5.8  ,5.0 ,-5785  ,      
 ,P,Zabaleta        ,WHU ,D,0.12 ,0.12 ,2.6,2.6 ,1669,4.9  ,2.0 ,-6049  ,      
 ,F,Delph           ,MCI ,M,0.18 ,0.11 ,2.8,2.5 ,1162,4.5  ,0.9 ,-6217  ,      
 ,J,Chicharito      ,WHU ,F,0.18 ,0.25 ,3.2,3.7 ,959 ,6.7  ,6.8 ,-6249  ,      
