W,I,web_name        ,team,T,px  ,m% ,VA/M ,VA/ML,p/g,p/gl,form,%   ,txn    ,gf ,122417
 ,D,Yedlin          ,NEW ,D,4.5 ,81 ,0.07 ,0.07 ,2.3,2.3 ,0.2 ,1.2 ,-2594  ,-4 ,      
 ,A,Doucouré        ,WAT ,M,5.9 ,100,0.31 ,0.32 ,3.8,3.9 ,5.2 ,2.0 ,-2654  ,-2 ,      
 ,N,Aké             ,BOU ,D,5.0 ,100,0.18 ,0.14 ,2.9,2.7 ,1.7 ,4.6 ,-2955  ,-1 ,      
 ,J,Seri            ,FUL ,M,5.1 ,87 ,0.14 ,0.16 ,2.7,2.8 ,1.6 ,1.8 ,-3045  ,-3 ,      
 ,G,Wijnaldum       ,LIV ,M,5.5 ,84 ,0.18 ,0.24 ,3.0,3.3 ,1.8 ,1.2 ,-3179  ,-4 ,      
 ,D,Jota            ,WOL ,M,5.9 ,64 ,0.17 ,0.32 ,3.0,3.9 ,4.2 ,0.9 ,-3294  ,-6 ,      
 ,M,Zanka           ,HUD ,D,4.4 ,88 ,0.18 ,0.23 ,2.8,3.0 ,2.7 ,3.1 ,-3318  ,-2 ,      
 ,C,Eriksen         ,TOT ,M,9.3 ,60 ,0.2  ,0.28 ,3.9,4.6 ,5.0 ,5.6 ,-3406  ,-1 ,      
 ,N,Etheridge       ,CAR ,G,4.5 ,100,0.33 ,0.36 ,3.5,3.6 ,3.4 ,5.4 ,-3513  ,-1 ,      
 ,J,Milner          ,LIV ,M,5.6 ,66 ,0.32 ,0.55 ,3.8,5.1 ,3.2 ,3.9 ,-3557  ,-2 ,      
 ,G,Xhaka           ,ARS ,M,5.3 ,90 ,0.15 ,0.19 ,2.8,3.0 ,2.0 ,2.8 ,-3565  ,-2 ,      
 ,K,Kepa            ,CHE ,G,5.6 ,100,0.37 ,0.39 ,4.1,4.2 ,4.0 ,5.8 ,-3668  ,-1 ,      
 ,A,Lennon          ,BUR ,M,5.0 ,75 ,0.12 ,0.18 ,2.6,2.9 ,1.2 ,0.6 ,-3807  ,-11,      
 ,J,Moutinho        ,WOL ,M,5.2 ,88 ,0.13 ,0.17 ,2.7,2.9 ,1.7 ,2.2 ,-3887  ,-3 ,      
 ,S,Mustafi         ,ARS ,D,5.4 ,86 ,0.17 ,0.17 ,2.9,2.9 ,2.3 ,1.2 ,-3899  ,-5 ,      
 ,S,Duffy           ,BHA ,D,4.6 ,79 ,0.37 ,0.46 ,3.7,4.1 ,1.6 ,4.2 ,-4414  ,-2 ,      
 ,R,Bertrand        ,SOU ,D,4.8 ,67 ,0.17 ,0.17 ,2.8,2.8 ,0.0 ,2.5 ,-4460  ,-3 ,      
 ,A,Pérez           ,NEW ,F,6.1 ,82 ,0.13 ,0.11 ,2.8,2.7 ,3.0 ,1.3 ,-4569  ,-6 ,      
 ,A,Mooy            ,HUD ,M,5.1 ,82 ,0.18 ,0.18 ,2.9,2.9 ,3.5 ,1.3 ,-4605  ,-6 ,      
 ,R,Kenedy          ,NEW ,M,4.9 ,69 ,0.1  ,0.22 ,2.5,3.1 ,1.3 ,1.1 ,-4965  ,-8 ,      
 ,R,Sessegnon       ,FUL ,M,6.0 ,76 ,0.13 ,0.2  ,2.8,3.2 ,1.0 ,2.2 ,-5092  ,-4 ,      
o,M,Keane           ,EVE ,D,5.1 ,83 ,0.39 ,0.47 ,4.0,4.4 ,0.6 ,4.3 ,-5395  ,-2 ,      
 ,C,Schindler       ,HUD ,D,4.4 ,99 ,0.2  ,0.23 ,2.9,3.0 ,2.5 ,3.5 ,-5489  ,-3 ,      
 ,E,Dier            ,TOT ,M,4.8 ,69 ,0.21 ,0.21 ,3.0,3.0 ,2.2 ,1.4 ,-5734  ,-7 ,      
 ,S,Steve Cook      ,BOU ,D,4.5 ,100,0.2  ,0.16 ,2.9,2.7 ,1.5 ,7.6 ,-5739  ,-1 ,      
 ,C,Paterson        ,CAR ,M,5.3 ,75 ,0.3  ,0.4  ,3.6,4.1 ,3.2 ,1.3 ,-5852  ,-7 ,      
 ,J,King            ,BOU ,F,6.3 ,80 ,0.37 ,0.35 ,4.3,4.2 ,3.3 ,2.9 ,-6017  ,-3 ,      
m,P,Pedro           ,CHE ,M,6.3 ,55 ,0.38 ,0.79 ,4.4,7.0 ,5.0 ,5.1 ,-6797  ,-2 ,      
 ,A,Rüdiger         ,CHE ,D,6.0 ,99 ,0.37 ,0.4  ,4.2,4.4 ,3.6 ,5.1 ,-6987  ,-2 ,      
 ,J,Maddison        ,LEI ,M,6.8 ,81 ,0.35 ,0.43 ,4.4,4.9 ,5.4 ,5.2 ,-7487  ,-2 ,      
 ,G,Jesus           ,MCI ,F,10.1,42 ,0.08 ,0.36 ,2.8,5.6 ,4.6 ,1.9 ,-7661  ,-7 ,      
 ,M,Ryan            ,BHA ,G,4.5 ,100,0.29 ,0.33 ,3.3,3.5 ,2.0 ,5.1 ,-7697  ,-3 ,      
 ,N,Kanté           ,CHE ,M,4.9 ,99 ,0.24 ,0.27 ,3.2,3.3 ,4.2 ,17.0,-7817  ,-1 ,      
 ,C,Azpilicueta     ,CHE ,D,6.3 ,100,0.33 ,0.35 ,4.1,4.2 ,3.6 ,9.9 ,-8246  ,-1 ,      
 ,F,Balbuena        ,WHU ,D,4.5 ,91 ,0.13 ,0.18 ,2.6,2.8 ,2.6 ,1.5 ,-8818  ,-10,      
 ,J,Jorginho        ,CHE ,M,4.8 ,90 ,0.13 ,0.15 ,2.6,2.7 ,1.8 ,7.1 ,-9092  ,-2 ,      
 ,C,Cédric          ,SOU ,D,4.4 ,81 ,0.2  ,0.2  ,2.9,2.9 ,1.6 ,3.9 ,-9805  ,-4 ,      
 ,J,Gudmundsson     ,BUR ,M,5.7 ,70 ,0.39 ,0.44 ,4.2,4.5 ,1.2 ,1.7 ,-9998  ,-10,      
 ,A,Schürrle        ,FUL ,M,5.7 ,76 ,0.25 ,0.28 ,3.4,3.6 ,1.4 ,3.6 ,-10178 ,-5 ,      
 ,B,Alli            ,TOT ,M,8.9 ,53 ,0.27 ,0.37 ,4.4,5.3 ,4.0 ,3.4 ,-10801 ,-5 ,      
