O,I,web_name      ,team,T,VA/M ,VA/ML,p/g,p/gl,form,min ,price,%   ,txn   ,gf ,021211
 ,F,Delph         ,MCI ,M,0.13 ,0.11 ,2.6,2.5 ,0.2 ,1282,4.5  ,0.4 ,-406  ,-2 ,      
 ,G,Cahill        ,CHE ,D,0.13 ,0.26 ,2.8,3.6 ,0.3 ,1436,6.2  ,2.6 ,-415  ,0  ,      
 ,M,Keane         ,EVE ,D,0.06 ,0.09 ,2.3,2.5 ,1.6 ,1569,5.3  ,4.4 ,-417  ,0  ,      
 ,C,Fàbregas      ,CHE ,M,0.09 ,0.18 ,2.6,3.2 ,0.0 ,1494,6.8  ,2.8 ,-428  ,0  ,      
 ,K,Gibbs         ,WBA ,D,0.16 ,0.18 ,2.8,2.9 ,0.5 ,1806,5.0  ,0.4 ,-448  ,-2 ,      
 ,A,Pérez         ,NEW ,F,0.1  ,0.23 ,2.5,3.2 ,2.5 ,1605,5.2  ,1.1 ,-460  ,-1 ,      
 ,J,Manquillo     ,NEW ,D,0.07 ,0.07 ,2.3,2.3 ,0.3 ,1685,4.4  ,0.8 ,-466  ,-1 ,      
 ,K,Zouma         ,STK ,D,0.11 ,0.11 ,2.6,2.6 ,3.2 ,2135,5.4  ,1.9 ,-479  ,0  ,      
 ,R,Bertrand      ,SOU ,D,0.15 ,0.15 ,2.8,2.8 ,2.0 ,2155,5.3  ,4.5 ,-486  ,0  ,      
 ,D,Tadic         ,SOU ,M,0.18 ,0.19 ,3.1,3.2 ,1.8 ,1924,6.2  ,1.6 ,-502  ,-1 ,      
 ,I,Gündogan      ,MCI ,M,0.08 ,0.45 ,2.4,4.4 ,3.2 ,791 ,5.3  ,0.9 ,-513  ,-1 ,      
 ,J,João Mário    ,WHU ,M,0.2  ,0.2  ,3.3,3.3 ,3.3 ,256 ,6.5  ,0.2 ,-613  ,-5 ,      
 ,S,Mignolet      ,LIV ,G,0.31 ,0.31 ,3.5,3.5 ,0.0 ,1710,4.8  ,1.2 ,-633  ,-1 ,      
 ,N,Aké           ,BOU ,D,0.18 ,0.2  ,2.9,3.0 ,4.0 ,2362,5.0  ,6.2 ,-658  ,0  ,      
 ,G,Murray        ,BHA ,F,0.19 ,0.39 ,3.1,4.2 ,4.3 ,1472,5.7  ,2.7 ,-680  ,0  ,      
 ,J,Joselu        ,NEW ,F,0.13 ,0.15 ,2.7,2.8 ,0.8 ,1559,5.5  ,0.6 ,-695  ,-2 ,      
 ,P,Cech          ,ARS ,G,0.28 ,0.28 ,3.5,3.5 ,2.4 ,2409,5.3  ,4.4 ,-716  ,0  ,      
 ,S,Duffy         ,BHA ,D,0.17 ,0.17 ,2.8,2.8 ,1.3 ,2322,4.6  ,3.8 ,-730  ,0  ,      
 ,P,Jagielka      ,EVE ,D,-0.04,-0.02,1.8,1.9 ,0.2 ,1264,4.7  ,2.3 ,-748  ,-1 ,      
 ,A,Barnes        ,BUR ,F,-0.04,0.06 ,1.8,2.3 ,1.5 ,1344,5.2  ,0.9 ,-769  ,-1 ,      
 ,S,Davis         ,SOU ,M,0.26 ,0.38 ,3.2,3.8 ,1.0 ,1483,4.7  ,1.9 ,-927  ,-1 ,      
 ,C,Benteke       ,CRY ,F,0.13 ,0.17 ,3.0,3.3 ,5.8 ,1748,7.6  ,2.5 ,-941  ,-1 ,      
 ,W,Morgan        ,LEI ,D,0.0  ,0.02 ,2.0,2.1 ,0.0 ,1917,4.4  ,1.7 ,-968  ,-1 ,      
 ,A,Townsend      ,CRY ,M,0.21 ,0.23 ,3.2,3.3 ,2.3 ,2158,5.6  ,1.1 ,-1004 ,-2 ,      
 ,M,Lanzini       ,WHU ,M,0.31 ,0.37 ,4.1,4.5 ,0.8 ,1449,6.7  ,1.2 ,-1008 ,-1 ,      
 ,L,Koscielny     ,ARS ,D,0.4  ,0.4  ,4.4,4.4 ,4.0 ,1955,6.0  ,1.9 ,-1019 ,-1 ,      
 ,A,Begovic       ,BOU ,G,0.24 ,0.24 ,3.1,3.1 ,2.8 ,2430,4.5  ,4.1 ,-1039 ,0  ,      
 ,N,Matic         ,MUN ,M,0.11 ,0.11 ,2.5,2.5 ,2.4 ,2379,4.7  ,8.1 ,-1118 ,0  ,      
 ,J,Lössl         ,HUD ,G,0.37 ,0.37 ,3.7,3.7 ,4.0 ,2430,4.6  ,7.1 ,-1136 ,0  ,      
 ,L,Dunk          ,BHA ,D,0.09 ,0.09 ,2.4,2.4 ,1.3 ,2430,4.5  ,3.5 ,-1165 ,-1 ,      
 ,A,Williams      ,EVE ,D,0.1  ,0.21 ,2.5,3.1 ,0.8 ,1655,5.2  ,2.5 ,-1218 ,-1 ,      
 ,C,Löwe          ,HUD ,D,0.14 ,0.25 ,2.6,3.1 ,0.3 ,1312,4.4  ,1.3 ,-1226 ,-2 ,      
 ,S,Steve Cook    ,BOU ,D,0.13 ,0.2  ,2.6,2.9 ,2.0 ,1774,4.6  ,1.1 ,-1234 ,-2 ,      
 ,W,Willian       ,CHE ,M,0.26 ,0.56 ,3.8,5.8 ,3.3 ,1221,6.8  ,7.0 ,-1249 ,0  ,      
 ,J,Mata          ,MUN ,M,0.26 ,0.38 ,3.8,4.6 ,2.6 ,1448,6.8  ,2.2 ,-1252 ,-1 ,      
 ,A,Iwobi         ,ARS ,M,0.25 ,0.35 ,3.3,3.8 ,4.0 ,1110,5.1  ,0.8 ,-1263 ,-3 ,      
x,R,Sterling      ,MCI ,M,0.54 ,0.62 ,6.9,7.6 ,5.4 ,1917,9.0  ,37.6,-1301 ,0  ,      
 ,H,Gomes         ,WAT ,G,0.16 ,0.16 ,2.7,2.7 ,0.0 ,2038,4.5  ,1.5 ,-1352 ,-2 ,      
 ,C,Atsu          ,NEW ,M,0.23 ,0.35 ,3.1,3.7 ,1.8 ,1599,4.8  ,1.7 ,-1415 ,-1 ,      
 ,B,Bernardo Silva,MCI ,M,0.08 ,0.22 ,2.6,3.6 ,3.4 ,944 ,7.4  ,1.1 ,-1455 ,-2 ,      
 ,A,Masuaku       ,WHU ,D,0.02 ,0.02 ,2.1,2.1 ,0.3 ,1323,4.3  ,0.8 ,-1501 ,-3 ,      
 ,C,Daniels       ,BOU ,D,0.19 ,0.19 ,2.9,2.9 ,2.4 ,2097,4.7  ,6.8 ,-1530 ,0  ,      
 ,J,Hart          ,WHU ,G,0.28 ,0.28 ,3.2,3.2 ,0.0 ,1260,4.3  ,5.1 ,-1533 ,-1 ,      
 ,M,Yoshida       ,SOU ,D,0.37 ,0.39 ,3.7,3.8 ,0.0 ,1534,4.6  ,2.5 ,-1541 ,-1 ,      
 ,J,Evans         ,WBA ,D,0.2  ,0.22 ,3.0,3.1 ,0.5 ,1813,4.9  ,1.3 ,-1545 ,-2 ,      
 ,B,Mee           ,BUR ,D,0.22 ,0.22 ,3.1,3.1 ,1.5 ,2250,4.9  ,14.6,-1634 ,0  ,      
 ,A,Gray          ,WAT ,F,0.08 ,0.33 ,2.5,4.1 ,1.0 ,1253,6.3  ,1.5 ,-1660 ,-2 ,      
 ,M,Zanka         ,HUD ,D,0.13 ,0.13 ,2.6,2.6 ,1.3 ,2430,4.5  ,6.2 ,-1707 ,0  ,      
 ,P,Obiang        ,WHU ,M,0.14 ,0.25 ,2.6,3.1 ,0.5 ,1558,4.4  ,1.1 ,-1734 ,-3 ,      
 ,J,Allen         ,STK ,M,0.24 ,0.24 ,3.2,3.2 ,4.0 ,2232,5.1  ,2.0 ,-1749 ,-2 ,      
