W,I,web_name        ,team,T,VA/M ,VA/ML,p/g ,p/gl,form,min,price,%   ,txn   ,gf ,081112
 ,J,Dalot           ,MUN ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.0 ,-104  ,0.0,      
 ,K,Mirallas        ,EVE ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.0 ,-106  ,0.0,      
 ,F,Schär           ,NEW ,D,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.4 ,-108  ,-1 ,      
 ,L,Dunk            ,BHA ,D,-0.22,-0.44,1.0 ,0.0 ,1.0 ,90 ,4.5  ,3.3 ,-111  ,0  ,      
 ,P,Obiang          ,WHU ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,1.4 ,-112  ,0  ,      
o,D,Jota            ,WOL ,M,-0.31,-0.31,0.0 ,0.0 ,0.0 ,0  ,6.5  ,6.7 ,-112  ,0  ,      
 ,A,Masuaku         ,WHU ,M,-0.44,-0.44,0.0 ,0.0 ,0.0 ,0  ,4.5  ,2.4 ,-114  ,0  ,      
 ,R,Miranda         ,WOL ,D,-0.5 ,-0.5 ,0.0 ,0.0 ,0.0 ,0  ,4.0  ,0.1 ,-114  ,-2 ,      
 ,D,Zappacosta      ,CHE ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,0.3 ,-117  ,-1 ,      
 ,D,Danilo          ,MCI ,D,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,1.2 ,-123  ,0  ,      
 ,I,Gündogan        ,MCI ,M,-0.36,-0.36,0.0 ,0.0 ,0.0 ,0  ,5.5  ,1.5 ,-123  ,0  ,      
 ,M,Vydra           ,BUR ,F,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,0.2 ,-125  ,-1 ,      
 ,S,Romero          ,MUN ,G,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.1 ,-125  ,-3 ,      
 ,M,Kovacic         ,CHE ,M,-0.33,-0.33,0.0 ,0.0 ,0.0 ,0  ,6.0  ,1.4 ,-126  ,0  ,      
 ,K,Zohore          ,CAR ,F,-0.4 ,-0.4 ,0.0 ,0.0 ,0.0 ,0  ,5.0  ,0.8 ,-128  ,0  ,      
 ,T,Cairney         ,FUL ,M,0.0  ,-0.4 ,2.0 ,0.0 ,2.0 ,90 ,5.0  ,3.3 ,-131  ,0  ,      
